|||Sütunlar||||||||||||
Satırlar|||Akdeniz-TR6|Batı Anadolu-TR5|Batı Karadeniz-TR8|Batı Marmara-TR2|Doğu Karadeniz-TR9|Doğu Marmara-TR4|Ege-TR3|Güneydoğu Anadolu-TRC|Kuzeydoğu Anadolu-TRA|Orta Anadolu-TR7|Ortadoğu Anadolu-TRB|İstanbul-TR1|
|||||||||||||||
|||||||||||||||
|Erkek ve 35-39 ve Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2019|3665.0|845.0|801.0|708.0|366.0|1082.0|2255.0|7527.0|1666.0|436.0|2764.0|4529.0|
|Erkek ve 35-39 ve Okuma Yazma Bilmeyen|2019|1790.0|795.0|780.0|481.0|545.0|898.0|1202.0|3149.0|719.0|615.0|1222.0|1863.0|
|Erkek ve 35-39 ve Ortaokul Veya Dengi Meslek Ortaokul|2019|59112.0|39939.0|23647.0|20552.0|13271.0|45398.0|60627.0|46216.0|10280.0|22633.0|20824.0|95038.0|
|Erkek ve 35-39 ve Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2019|12179.0|19085.0|5152.0|4338.0|2965.0|11068.0|13832.0|8576.0|2340.0|5080.0|4617.0|33925.0|
|Erkek ve 35-39 ve Yüksekokul Veya Fakülte|2019|91554.0|88161.0|35679.0|31902.0|21430.0|80733.0|97355.0|53337.0|14272.0|32783.0|28234.0|167182.0|
|Erkek ve 35-39 ve İlkokul|2019|50865.0|27897.0|15439.0|14110.0|8161.0|24051.0|49854.0|44282.0|11476.0|13695.0|15831.0|80744.0|
|Erkek ve 35-39 ve İlköğretim|2019|57684.0|34658.0|28981.0|20381.0|12253.0|45650.0|62932.0|54822.0|10736.0|21769.0|21963.0|85471.0|
|Erkek ve 40-44 ve Bilinmeyen|2019|3752.0|1702.0|641.0|508.0|953.0|1866.0|1837.0|2216.0|608.0|1016.0|692.0|5616.0|
|Erkek ve 40-44 ve Doktora|2019|2088.0|4024.0|1132.0|938.0|724.0|2097.0|2690.0|1188.0|593.0|1127.0|913.0|5033.0|
|Erkek ve 40-44 ve Lise Ve Dengi Meslek Okulu|2019|120418.0|97977.0|51158.0|46459.0|32691.0|113976.0|125640.0|66525.0|19367.0|46315.0|36021.0|194904.0|
|Erkek ve 40-44 ve Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2019|2595.0|559.0|610.0|561.0|298.0|694.0|1637.0|5014.0|944.0|365.0|1890.0|2584.0|
|Erkek ve 40-44 ve Okuma Yazma Bilmeyen|2019|1585.0|666.0|782.0|465.0|472.0|820.0|1091.0|2511.0|610.0|545.0|1071.0|1592.0|
|Erkek ve 40-44 ve Ortaokul Veya Dengi Meslek Ortaokul|2019|53520.0|35805.0|21567.0|18466.0|12461.0|41568.0|53152.0|38403.0|9111.0|19739.0|17382.0|82502.0|
|Erkek ve 40-44 ve Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2019|10004.0|15544.0|4091.0|3342.0|2131.0|8960.0|10991.0|5498.0|1431.0|3886.0|2837.0|27184.0|
|Erkek ve 40-44 ve Yüksekokul Veya Fakülte|2019|74561.0|73051.0|29669.0|26409.0|16910.0|61997.0|81466.0|36133.0|9782.0|26617.0|19514.0|123890.0|
|Erkek ve 40-44 ve İlkokul|2019|60956.0|31687.0|19866.0|18385.0|10608.0|31481.0|62574.0|43326.0|10995.0|16512.0|15076.0|88044.0|
|Erkek ve 40-44 ve İlköğretim|2019|56462.0|33729.0|29924.0|21464.0|13442.0|48204.0|64374.0|45201.0|9308.0|21228.0|17956.0|87231.0|
|Erkek ve 45-49 ve Bilinmeyen|2019|3535.0|1714.0|764.0|608.0|1043.0|2032.0|2114.0|2089.0|547.0|969.0|732.0|5920.0|
|Erkek ve 45-49 ve Doktora|2019|2230.0|3646.0|957.0|815.0|600.0|1963.0|2586.0|981.0|508.0|980.0|740.0|4464.0|
|Erkek ve 45-49 ve Lise Ve Dengi Meslek Okulu|2019|88882.0|71829.0|36586.0|34798.0|27171.0|85026.0|93176.0|48871.0|16071.0|34327.0|28079.0|152159.0|
|Erkek ve 45-49 ve Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2019|2494.0|542.0|714.0|620.0|313.0|686.0|1722.0|4671.0|1017.0|370.0|2142.0|2250.0|
|Erkek ve 45-49 ve Okuma Yazma Bilmeyen|2019|1516.0|662.0|706.0|518.0|576.0|800.0|1005.0|2469.0|638.0|501.0|1013.0|1324.0|
|Erkek ve 45-49 ve Ortaokul Veya Dengi Meslek Ortaokul|2019|57393.0|40042.0|24222.0|20218.0|15076.0|45025.0|57258.0|36586.0|11040.0|23010.0|19375.0|88041.0|
|Erkek ve 45-49 ve Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2019|6917.0|11665.0|2708.0|2350.0|1645.0|6146.0|7789.0|3097.0|840.0|2525.0|1767.0|18921.0|
|Erkek ve 45-49 ve Yüksekokul Veya Fakülte|2019|60779.0|64842.0|25498.0|21044.0|14692.0|47816.0|66419.0|25628.0|7707.0|22491.0|15605.0|93299.0|
|Erkek ve 45-49 ve İlkokul|2019|70638.0|37181.0|26599.0|22930.0|14253.0|38860.0|73183.0|42805.0|13164.0|19749.0|18100.0|93382.0|
|Erkek ve 45-49 ve İlköğretim|2019|64902.0|39139.0|32888.0|23481.0|16287.0|54215.0|69642.0|45268.0|10778.0|24142.0|20016.0|98929.0|
|Erkek ve 50-54 ve Bilinmeyen|2019|3701.0|2091.0|1115.0|773.0|1175.0|2369.0|2549.0|1590.0|397.0|1265.0|615.0|5686.0|
|Erkek ve 50-54 ve Doktora|2019|2002.0|3513.0|840.0|741.0|540.0|1735.0|2567.0|803.0|435.0|832.0|658.0|4448.0|
|Erkek ve 50-54 ve Lise Ve Dengi Meslek Okulu|2019|70401.0|56238.0|29020.0|28329.0|23830.0|63500.0|75689.0|34870.0|11800.0|27711.0|20874.0|108762.0|
|Erkek ve 50-54 ve Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2019|2748.0|656.0|949.0|744.0|431.0|852.0|2105.0|4786.0|954.0|466.0|2170.0|2449.0|
|Erkek ve 50-54 ve Okuma Yazma Bilmeyen|2019|1449.0|585.0|711.0|524.0|485.0|812.0|1132.0|2551.0|614.0|439.0|1176.0|1429.0|
|Erkek ve 50-54 ve Ortaokul Veya Dengi Meslek Ortaokul|2019|49855.0|36622.0|23939.0|19227.0|15931.0|40363.0|51268.0|28788.0|9201.0|21466.0|15697.0|69692.0|
|Erkek ve 50-54 ve Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2019|5147.0|8763.0|1725.0|1787.0|1161.0|4223.0|6364.0|1675.0|456.0|1673.0|1030.0|13067.0|
|Erkek ve 50-54 ve Yüksekokul Veya Fakülte|2019|42063.0|49763.0|19432.0|16532.0|11268.0|33432.0|51650.0|14337.0|5200.0|16040.0|9804.0|64472.0|
|Erkek ve 50-54 ve İlkokul|2019|73327.0|43288.0|36922.0|29430.0|18638.0|46273.0|84307.0|40006.0|11224.0|23881.0|16853.0|86986.0|
|Erkek ve 50-54 ve İlköğretim|2019|56057.0|35687.0|29620.0|21672.0|15544.0|49553.0|62693.0|33604.0|8230.0|22021.0|15628.0|82309.0|
|Erkek ve 55-59 ve Bilinmeyen|2019|3793.0|2604.0|1260.0|988.0|1295.0|2711.0|3250.0|1362.0|469.0|1672.0|612.0|5859.0|
|Erkek ve 55-59 ve Doktora|2019|1188.0|2699.0|480.0|433.0|326.0|1119.0|1857.0|500.0|291.0|430.0|403.0|3405.0|
|Erkek ve 55-59 ve Lise Ve Dengi Meslek Okulu|2019|66826.0|52885.0|29641.0|26118.0|23903.0|55111.0|70235.0|30761.0|10943.0|25719.0|20559.0|89961.0|
