,Date,Daily Test,Total Test,Daily Cases,Total Case,Total Active Case,Daily Deaths,Total Death,% Deaths/Cases Ratio,Daily Recovering,Total Recovering,Total Intensive Care,Total Intubated,% Test/Case Ratio,Daily Case Ranking
83,18 June,48412,2822316,1304,184031,23127,21,4882,1.6104294478527608,1382,156022,755,311,2.69354705444931,63
84,19 June,41316,2863632,1214,185245,22824,23,4905,1.8945634266886324,1494,157516,769,310,2.9383289766676346,67
85,20 June,41112,2904744,1248,186493,22738,22,4927,1.7628205128205128,1312,158828,781,318,3.0356100408639812,66
86,21 June,40496,2945240,1192,187685,22495,23,4950,1.929530201342282,1412,160240,803,327,2.943500592651126,70
87,22 June,41413,2986653,1212,188897,22390,24,4974,1.9801980198019802,1293,161533,846,345,2.926617245792384,68
88,23 June,42982,3029635,1268,190165,22316,27,5001,2.1293375394321767,1315,162848,893,362,2.9500721232143685,65
89,24 June,53486,3083121,1492,191657,22398,24,5025,1.6085790884718498,1386,164234,914,356,2.7895150132745017,53
90,25 June,52303,3135424,1458,193115,22363,21,5046,1.440329218106996,1472,165706,941,369,2.7876030055637346,56
91,26 June,51198,3186622,1396,194511,22248,19,5065,1.361031518624642,1492,167198,963,382,2.726669010508223,58
92,27 June,45213,3231835,1372,195883,21619,17,5082,1.239067055393586,1984,169182,984,366,3.034525468338752,60
93,28 June,48309,3280144,1356,197239,21547,15,5097,1.1061946902654867,1413,170595,996,381,2.806930385642427,62
94,29 June,51014,3331158,1374,198613,21689,18,5115,1.3100436681222707,1214,171809,1018,375,2.693378288313012,59
95,30 June,50492,3381650,1293,199906,21664,16,5131,1.237432327919567,1302,173111,1026,368,2.5608017111621644,64
96,1 July,52313,3433963,1192,201098,20526,19,5150,1.5939597315436242,2311,175422,1035,362,2.278592319308776,70
97,2 July,49714,3483677,1186,202284,20152,17,5167,1.433389544688027,1543,176965,1067,372,2.3856458945166352,72
98,3 July,52141,3535818,1172,203456,19992,19,5186,1.621160409556314,1313,178278,1082,374,2.2477512897719643,75
99,4 July,48248,3584066,1154,204610,19912,20,5206,1.733102253032929,1214,179492,1093,378,2.3918089869010113,77
100,5 July,46414,3630480,1148,205758,19853,19,5225,1.6550522648083623,1188,180680,1127,392,2.473391649071401,78
101,6 July,52193,3682673,1086,206844,18608,16,5241,1.4732965009208103,2315,182995,1130,395,2.0807387963903206,82
102,7 July,50545,3733218,1053,207897,17345,19,5260,1.8043684710351375,2297,185292,1152,400,2.0832921159362945,83
103,8 July,49302,3782520,1041,208938,16145,22,5282,2.1133525456292026,2219,187511,1172,406,2.11147620786175,84
104,9 July,50103,3832623,1024,209962,14272,18,5300,1.7578125,2879,190390,1179,399,2.0437897930263658,86
105,10 July,48787,3881410,1003,210965,13759,23,5323,2.293120638085743,1493,191883,1182,402,2.055875540615328,91
106,11 July,48813,3930223,1016,211981,13420,21,5344,2.066929133858268,1334,193217,1194,401,2.08141273840985,88
107,12 July,45232,3975455,1012,212993,13115,19,5363,1.8774703557312251,1298,194515,1209,409,2.237354085603113,89
108,13 July,46492,4021947,1008,214001,12948,19,5382,1.8849206349206349,1156,195671,1223,402,2.168114944506582,90
109,14 July,43231,4065178,992,214993,12871,20,5402,2.0161290322580645,1049,196720,1204,396,2.2946496726885797,93
110,15 July,42320,4107498,947,215940,12788,17,5419,1.7951425554382259,1013,197733,1206,401,2.237712665406427,103
111,16 July,42411,4149909,933,216873,12613,21,5440,2.2508038585209005,1087,198820,1213,394,2.1999009690882083,104
