Last_Update,Test_numbers,Confirmed,Deaths,Recovered,Intubated,DailyConfirmed,DailyDeaths,DailyRecovered,DailyIntubated,General DailyIntubated,Total Death/Recovered,Total Confirmed/Recovered,Daily Death/Recovered,Daily Confirmed/Recovered,Daily Intubated/Recovered,Daily Death/Intubated,Daily Confirmed/Test
2020-04-19,35344,86306,2017,11976,1031,3977,127,1523,0,-23,0.16842017368069473,7.206579826319305,0.08338804990151018,2.6112934996717008,0.0,0.0,0.11252263467632413
2020-04-20,39703,90980,2140,13430,1033,4674,123,1454,2,2,0.15934475055845124,6.774385703648548,0.08459422283356259,3.214580467675378,0.001375515818431912,61.5,0.11772410145329068
2020-04-21,39429,95591,2259,14918,1006,4611,119,1488,0,-27,0.1514278053358359,6.407762434642714,0.07997311827956989,3.098790322580645,0.0,0.0,0.11694438103933653
2020-04-22,37535,98674,2376,16477,985,3083,117,1559,0,-21,0.14420100746495115,5.988590155974996,0.0750481077613855,1.9775497113534317,0.0,0.0,0.08213667243905688
2020-04-23,40962,101790,2491,18491,982,3116,115,2014,0,-3,0.13471418527932508,5.5048401925260935,0.057100297914597815,1.5471698113207548,0.0,0.0,0.07607050436990381
2020-04-24,38351,104912,2600,21737,929,3122,109,3246,0,-53,0.11961172194875097,4.826424989648985,0.033579790511398644,0.9617991373998768,0.0,0.0,0.0814059607311413
2020-04-25,38308,107773,2706,25582,900,2861,106,3845,0,-29,0.10577749980455008,4.212844969118912,0.027568270481144342,0.7440832249674902,0.0,0.0,0.07468413908322022
2020-04-26,30177,110130,2805,29140,883,2357,99,3558,0,-17,0.09625943719972546,3.779341111873713,0.02782462057335582,0.6624508150646431,0.0,0.0,0.07810584219770024
2020-04-27,20143,112261,2900,33791,882,2131,95,4651,0,-1,0.08582166849161019,3.322215974667811,0.0204257149000215,0.4581810363362718,0.0,0.0,0.10579357593208559
2020-04-28,29230,114653,2992,38809,845,2392,92,5018,0,-37,0.07709551908062563,2.9542889535932386,0.018333997608609008,0.47668393782383417,0.0,0.0,0.08183373246664385
2020-04-29,43498,117589,3018,44022,831,2936,26,5213,0,-14,0.06855663077552133,2.6711417018763344,0.004987531172069825,0.5632073661998849,0.0,0.0,0.06749735620028507
2020-04-30,42004,120204,3174,48886,803,2615,156,4864,0,-28,0.06492656384240887,2.4588634782964447,0.032072368421052634,0.5376233552631579,0.0,0.0,0.06225597562136939
2020-05-01,41431,122392,3258,53808,818,2188,84,4922,15,15,0.060548617305976805,2.274606006541778,0.017066233238520925,0.44453474197480697,0.0030475416497358796,5.6,0.052810697303951146
2020-05-02,36318,124375,3336,58259,778,1983,78,4451,0,-40,0.057261538989683995,2.134863282926243,0.017524151875982927,0.4455178611547967,0.0,0.0,0.05460102428547828
2020-05-03,24001,126045,3397,63151,766,1670,61,4892,0,-12,0.0537917055945274,1.995930389067473,0.012469337694194603,0.3413736713000818,0.0,0.0,0.06958043414857715
